index,Name,CatID,Total.Records,Region,Category_Name,Entity_prc,State,OrgID,Location,Date.Made.Public,Year,Source.of.Breach.Notification,Type,Month.of.Breach
0,Prescription Monitoring Program,1,34,West,Prescription Analytics,MED,Washington,100074200,Olympia,10/28/2012,2012,PHIPrivacy.net,UNKN,10
1,Rite Aid Corporation,3,-1,Northeast,Pharmacy,BSR,Pennsylvania,100079800,Camp Hill,7/27/2010,2010,PHIPrivacy.net,PHYS,7
2,Rite Aid Corporation,3,-1,Northeast,Pharmacy,BSR,Pennsylvania,100079600,Camp Hill,9/27/2012,2012,PHIPrivacy.net,DISC,9
3,Longs Drug Stores California Inc.,3,-1,West,Pharmacy,BSR,California,100051500,La Jolla,10/23/2007,2007,Dataloss DB,PORT,10
4,Main Street Pharmacy,3,-1,West,Pharmacy,MED,California,100052900,Corona,8/24/2012,2012,PHIPrivacy.net,INSD,8
5,Walsh Pharmacy,3,"11,440",Northeast,Pharmacy,MED,Massachusetts,100109800,Fall River,8/12/2010,2010,PHIPrivacy.net,PORT,8
6,CVS Pharmacy,3,1000,Southwest,Pharmacy,MED,Texas,100022500,Liberty,4/15/2007,2007,Dataloss DB,PHYS,4
7,"CVS Pharmacy, Imperial Beach ",3,100,NA,Pharmacy,BSR,California,200000369,Imperial Beach,18-Jul-15,2015,Media,INSD,7
8,Walgreens,3,-1,Southeast,Pharmacy,BSR,Kentucky,100109400,Richmond,2/15/2013,2013,PHIPrivacy.net,INSD,2
9,CVS Caremark Corp.,3,-1,Northeast,Pharmacy,BSR,Rhode Island,100022300,Woonsocket,3/9/2011,2011,PHIPrivacy.net,INSD,3
10,Walgreens Co.,3,-1,Midwest,Pharmacy,BSR,Illinois,100109500,Deerfield,3/11/2011,2011,PHIPrivacy.net,INSD,3
11,Omnicare Inc.,3,-1,Southeast,Pharmacy,MED,Kentucky,100068900,Covington,4/29/2011,2011,PHIPrivacy.net,PORT,4
12,CVS/Caremark,3,350,NA,Pharmacy,BSR,Georgia,200000156,Atlanta,30-Jul-14,2014,Media,DISC,7
13,"Crescent Health Inc., Walgreens",3,100000,West,Pharmacy,MED,California,100021800,Anaheim,2/22/2013,2013,California Attorney General,STAT,2
14,Several Indianapolis pharmacies,3,-1,Midwest,Pharmacy,MED,Indiana,100083300,Indianapolis,9/22/2006,2006,Media,PHYS,9
15,Evolution Nature Corp. dba The Evolution Store,3,-1,NA,Pharmacy,BSR,New York,200000218,Manhattan,9-Oct-14,2014,California Attorney General,HACK,10
16,CVS Caremark,3,-1,Northeast,Pharmacy,MED,Rhode Island,100022100,Woonsocket,12/4/2012,2012,HHS via PHIPrivacy.net,PHYS,12
17,LaCie USA,3,-1,NA,Pharmacy,BSR,Oregon,200000044,Tigard,11-Apr-14,2014,California Attorney General,HACK,4
18,Walgreens,3,-1,West,Pharmacy,BSR,California,100109300,San Diego,12/13/2012,2012,PHIPrivacy.net,PHYS,12
19,Rite Aid,3,-1,NA,Pharmacy,BSR,Pennsylvania,200002721,Camp Hill,19-May-17,2017,Media,HACK,5
20,Winn-Dixie,3,-1,Southeast,Pharmacy,MED,Mississippi,100112200,Pascagoula,6/23/2007,2007,Dataloss DB,PHYS,6
21,RIte Aid Corporation,3,-1,Northeast,Pharmacy,BSR,Pennsylvania,100079700,Harrisburg,1/12/2012,2012,HHS via PHIPrivacy.net,PHYS,1
22,Rite Aid Pharmacy,3,521,NA,Pharmacy,BSR,Washington,200000157,Milton ,30-Jul-14,2014,Media,PHYS,7
23,CVS Pharmacies,3,-1,Northeast,Pharmacy,MED,Rhode Island,100022400,Woonsocket,2/18/2009,2009,Dataloss DB,PHYS,2
24,CVS Health,3,-1,NA,Pharmacy,MED,Rhode Island,200001627,NA,26-Jun-15,2015,US Department of Health and Human Services,PHYS,6
25,CVS Health,3,724,NA,Pharmacy,MED,Rhode Island,200002122,NA,8-Mar-17,2017,US Department of Health and Human Services,PHYS,3
26,CVS Caremark,3,-1,Northeast,Pharmacy,BSR,Rhode Island,100022200,Woonsocket,3/24/2012,2011,PHIPrivacy.net,DISC,3
