OrgID,Name,SourceType
9130,1199 Seiu,DischargeFOIA
240,1798 Consultants,DischargeFOIA
1680,21St Century Oncology,DischargeFOIA
860,3M,DischargeFOIA
100000100,"A Caring Hand Home Health Care Services, Inc.",Breaches
100000200,A Honolulu hospital,Breaches
100000300,A Womans Place,Breaches
5330,Aaken Laboratories,DischargeFOIA
930,Abbott,DischargeFOIA
100000400,"Abbott Medical Optics, Baylor College of Medicine Department of Ophthalmology",Breaches
100000500,ABQ Health Partners,Breaches
5340,Absher Healthcare Consulting,DischargeFOIA
6920,Abt Associates Inc,DischargeFOIA
1690,Academic Medical Center Information System,DischargeFOIA
5350,Accenture,DischargeFOIA
5360,Access Mediquip Llc,DischargeFOIA
1270,Acs Government Healthcare,DischargeFOIA
5370,Adams Management Services Corporation,DischargeFOIA
100000600,"Adult and Child Care Center, Choices, Inc., Diversified Support Services, Midtown Mental Health Center",Breaches
100000700,Adult Industry Medical Healthcare Foundation (AIM Medical Associates P.C.),Breaches
100000800,Advanced Clinical Research Institute,Breaches
100000900,"Advanced Data Processing, Inc. (ADPI), Grady EMS",Breaches
6930,"Advancement Project, Healthy City",DischargeFOIA
100001000,Aegis Science Corporation,Breaches
1280,Aetna,DischargeFOIA
100001100,Aetna of Connecticut,Breaches
100001200,"Aetna, Nationwide, WellPoint Group Health Plans, Humana Medicare, Mutual of Omaha Insurance Company, Anthem Blue Cross Blue Shield via Concentra Preferred Systems",Breaches
100001300,"Affiliated Computer Services (ACS), Kraft Foods",Breaches
100001400,Affinity Health Plan,Breaches
100001500,Affordable Medical and Surgical Services,Breaches
100001600,AFLAC  American Family Life Assurance Co.,Breaches
880,Agency for Healthcare Research and Quality (AHRQ),DischargeFOIA
1290,Ahca,DischargeFOIA
5380,Aileron Solutions,DischargeFOIA
4410,"Akerman Senterfitt, Llp",DischargeFOIA
100001700,Akron Childrens Hospital,Breaches
100001800,Akron Childrens Hospital,Breaches
100001900,Alabama Department of Public Health,Breaches
4750,Alameda County Public Health Department,DischargeFOIA
1700,Alameda Hospital,DischargeFOIA
100002000,Alaska Department of Health and Social Services (DHSS),Breaches
290,Alaska State Hospital and Nursing Home Association,DischargeSurvey
100002100,Alaskan AIDS Assistance Association (Four As),Breaches
1710,Albany Medical Center,DischargeFOIA
100002200,Albany Medical Center,Breaches
6940,Albert Einstein College Of Medicine,DischargeFOIA
100002300,Albert Einstein Healthcare Network,Breaches
100002400,Alcoa Global Mobility Group,Breaches
10410,Alcohol Drug Program Administration,DischargeFOIA
940,Alcon Laboratories,DischargeFOIA
100002500,"Alere Home Monitoring, Inc.",Breaches
1720,All Childrens Hospital,DischargeFOIA
100002600,"Alliance HealthCare Services, Inc.",Breaches
100002700,Alliance Inc.,Breaches
100002800,Allina Hospitals and Clinics,Breaches
100002900,Allina Hospitals and Clinics,Breaches
1730,Altamed Health Services Corp.,DischargeFOIA
5390,Alvarez @ Marsal,DischargeFOIA
1300,America Health Insurance Plans Center For Policy And Research,DischargeFOIA
10840,American Academy Of Orthopedic Surgeons,DischargeFOIA
100003000,"American Association of Retired Persons, AARP Insurance",Breaches
100003100,American Cancer Society (ACS),Breaches
10850,American College Of Obstetricians & Gynecologists,DischargeFOIA
100003200,American Ex-Prisoners of War,Breaches
100003300,American Fidelity Assurance Company,Breaches
100003400,"American HomePatient Inc., LifeGas",Breaches
100003500,"American International Group (AIG), Indiana Office of Medical Excess, LLC",Breaches
100003600,"American Pharmacist Association (APhA), Pharmacist.com",Breaches
100003700,"American Red Cross, Farmers Branch",Breaches
100003800,"American Red Cross, St. Louis Chapter",Breaches
100003900,"Amerigroup Community Care of New Mexico, Inc.",Breaches
100004000,Ameritas Life Insurance Corp.,Breaches
950,"Amgen, Inc.",DischargeFOIA
100004100,AMR Corporation,Breaches
5400,Analysis Group,DischargeFOIA
100004200,"Anchorage Community Mental Health Services, Inc.",Breaches
100004300,"Ankle and Foot Center of Tampa Bay, Inc.",Breaches
4760,Anne Arundel County Health Department,DischargeFOIA
1310,Anthem BC/BS of Maine,DischargeFOIA
100004400,Anthem Blue Cross,Breaches
100004500,"Anthem Blue Cross, WellPoint",Breaches
1320,Anthem Blue Cross/ Wellpoint Inc,DischargeFOIA
5410,"Aon Consulting, Inc. Leo K. Lichtig, Phd.",DischargeFOIA
9580,Ap Legal Affairs Writer,DischargeFOIA
100004600,Apex Laboratory,Breaches
100004700,Apothecary of Colorado,Breaches
100004800,Applegate Valley Family Medicine,Breaches
5420,Applied Revenue Analytics,DischargeFOIA
100004900,Apria,Breaches
5430,"Arbormetrix, Inc",DischargeFOIA
1740,Archbold Medical Center,DischargeFOIA
100005000,"Area Agency on Aging, Inc.",Breaches
100005100,Arista OB-GYN Clinic,Breaches
100005200,Arizona Biodyne,Breaches
100005300,"Arizona Counseling and Treatment Services (ACTS), Cenpatico Behavioral Health of Arizona",Breaches
300,Arizona Department of Health Services,DischargeSurvey
100005400,Arizona Oncology,Breaches
6950,Arizona State University,DischargeFOIA
310,Arkansas Department of Health,DischargeSurvey
