Records.Breached,Records.Breached...Detail,Name,CatID,Total.Records,Region,Contact..etc.,Category_dm,Entity_prc,State,OrgID,Location,Date.Made.Public,Year,Source.of.Breach.Notification,Type,Description,Example (HTML),
34,34,Prescription Monitoring Program,1,34,West,,Prescription Analytics,MED,Washington,100074200,Olympia,10/28/2012,2012,PHIPrivacy.net,UNKN,An unauthorized party gained access to a physician's identity in order to view patient records. A fraudulent account was created under the doctor's identity in the Washington medical system. Medical information such as drugs dispensed and quantity dispensed may have been accessed before the fraudulent account was shut down.,"<b>Prescription Monitoring Program</b> had a data breach in 2012, in Washington. An unauthorized party gained access to a physician's identity in order to view patient records. A fraudulent account was created under the doctor's identity in the Washington medical system. Medical information such as drugs dispensed and quantity dispensed may have been accessed before the fraudulent account was shut down. [<a class=""BodyText"" href=""http://foreverdata.org/2000/"" >source</a>]',",
NA,Unknown,Rite Aid Corporation,3,,Northeast,"Etters, PA is also mentioned as Rite Aid's headquarters",Pharmacy,BSR,Pennsylvania,100079800,Camp Hill,7/27/2010,2010,PHIPrivacy.net,PHYS,,"'<b>Rite Aid Corporation</b> had a data breach in 2010, in Pennsylvania.  [<a class=""BodyText"" href=""http://foreverdata.org/2000/"" >source</a>]',",
NA,Unknown,Rite Aid Corporation,3,,Northeast,,Pharmacy,BSR,Pennsylvania,100079600,Camp Hill,9/27/2012,2012,PHIPrivacy.net,DISC,"A customer using RiteAids mobile app to check a prescription noticed that he was able to access the names, addresses, and prescription records of other customers. The customer was able to identify some of the problems by using his computer science background. He noticed there was no secure login tied to web service calls made from the smartphone application. The customer was able to correspond with several RiteAid representatives and RiteAid began to address some of the security concerns.","'<b>Rite Aid Corporation</b> had a data breach in 2012, in Pennsylvania. A customer using RiteAids mobile app to check a prescription noticed that he was able to access the names, addresses, and prescription records of other customers. The customer was able to identify some of the problems by using his computer science background. He noticed there was no secure login tied to web service calls made from the smartphone application. The customer was able to correspond with several RiteAid representatives and RiteAid began to address some of the security concerns. [<a class=""BodyText"" href=""http://foreverdata.org/2000/"" >source</a>]',",
NA,Unknown,Longs Drug Stores California Inc.,3,,West,,Pharmacy,BSR,California,100051500,La Jolla,10/23/2007,2007,Dataloss DB,PORT,"A data storage tape containing backup data relating to pharmacy transactions was stolen during a store burglary.  It contained customer names, prescription information and insurance plan membership information.  Some membership numbers were or contained Social Security numbers.","'<b>Longs Drug Stores California Inc.</b> had a data breach in 2007, in California. A data storage tape containing backup data relating to pharmacy transactions was stolen during a store burglary.  It contained customer names, prescription information and insurance plan membership information.  Some membership numbers were or contained Social Security numbers. [<a class=""BodyText"" href=""http://foreverdata.org/2000/"" >source</a>]',",
15,15,Main Street Pharmacy,3,15,West,,Pharmacy,MED,California,100052900,Corona,8/24/2012,2012,PHIPrivacy.net,INSD,"A doctor was convicted of prescription drug fraud, identity theft, illegal possession of controlled substances, and burglary. She was arrested in January 2009 following a yearlong narcotics investigation and subsequently pleaded guilty to 272 felony counts. The doctor had a drug addiction. She forged the signatures of several doctors and stole the identity of at least 15 patients in order to maintain her drug habit. She was sentenced to a year in jail, five years of probation, completion of a drug rehabilitation program, and completion of 1,000 hours of community service. The dishonest doctors license was also permanently revoked. ","'<b>Main Street Pharmacy</b> had a data breach in 2012, in California. A doctor was convicted of prescription drug fraud, identity theft, illegal possession of controlled substances, and burglary. She was arrested in January 2009 following a yearlong narcotics investigation and subsequently pleaded guilty to 272 felony counts. The doctor had a drug addiction. She forged the signatures of several doctors and stole the identity of at least 15 patients in order to maintain her drug habit. She was sentenced to a year in jail, five years of probation, completion of a drug rehabilitation program, and completion of 1,000 hours of community service. The dishonest doctors license was also permanently revoked.  [<a class=""BodyText"" href=""http://foreverdata.org/2000/"" >source</a>]',",
11440,"11,440",Walsh Pharmacy,3,"11,440",Northeast,,Pharmacy,MED,Massachusetts,100109800,Fall River,8/12/2010,2010,PHIPrivacy.net,PORT,"A DVD with patient information was lost in transit. Information included patient names as well as some Social Security numbers, health insurance information, drivers license numbers and prescription information. The DVD was not in the envelope when the recipient opened it.UPDATE (8/18/10): The incident involved 11,440 patients.","'<b>Walsh Pharmacy</b> had a data breach in 2010, in Massachusetts. A DVD with patient information was lost in transit. Information included patient names as well as some Social Security numbers, health insurance information, drivers license numbers and prescription information. The DVD was not in the envelope when the recipient opened it.UPDATE (8/18/10): The incident involved 11,440 patients. [<a class=""BodyText"" href=""http://foreverdata.org/2000/"" >source</a>]',",
1000,"Over 1,000",CVS Pharmacy,3,1000,Southwest,,Pharmacy,MED,Texas,100022500,Liberty,4/15/2007,2007,Dataloss DB,PHYS,,"'<b>CVS Pharmacy</b> had a data breach in 2007, in Texas.  [<a class=""BodyText"" href=""http://foreverdata.org/2000/"" >source</a>]',",
NA,NA,"CVS Pharmacy, Imperial Beach ",3,100,NA,NA,Pharmacy,BSR,California,200000369,Imperial Beach,18-Jul-15,2015,Media,INSD,"A pharmacy technician at the CVS Pharmacy on Saturn Boulevard in Imperial Beach California has admitted to stealing customer records and providing the information to her property manager who then used the information to gain credit and credit cards. An further investigation is currently being conducted. The California State Board of Pharmacy has suspended the license of the pharmacy tech, Nicole Yvonne Flores and CVS no longere employs Ms. Flores.","'<b>CVS Pharmacy, Imperial Beach </b> had a data breach in 2015, in California. A pharmacy technician at the CVS Pharmacy on Saturn Boulevard in Imperial Beach California has admitted to stealing customer records and providing the information to her property manager who then used the information to gain credit and credit cards. An further investigation is currently being conducted. The California State Board of Pharmacy has suspended the license of the pharmacy tech, Nicole Yvonne Flores and CVS no longere employs Ms. Flores. [<a class=""BodyText"" href=""http://foreverdata.org/2000/"" >source</a>]',",
NA,Unknown,Walgreens,3,,Southeast,,Pharmacy,BSR,Kentucky,100109400,Richmond,2/15/2013,2013,PHIPrivacy.net,INSD,"A Walgreens pharmacist used patient information to obtain prescriptions for powerful drugs. The fraudulent activity occurred between April 2011 and January 2012. The dishonest pharmacist pleaded guilty to aggravated identity theft, wire fraud, and fraudulently acquiring controlled substances on November 19, 2012.She was sentenced to 25 months in prison and one month of supervised release.","'<b>Walgreens</b> had a data breach in 2013, in Kentucky. A Walgreens pharmacist used patient information to obtain prescriptions for powerful drugs. The fraudulent activity occurred between April 2011 and January 2012. The dishonest pharmacist pleaded guilty to aggravated identity theft, wire fraud, and fraudulently acquiring controlled substances on November 19, 2012.She was sentenced to 25 months in prison and one month of supervised release. [<a class=""BodyText"" href=""http://foreverdata.org/2000/"" >source</a>]',",
NA,Unknown,CVS Caremark Corp.,3,,Northeast,,Pharmacy,BSR,Rhode Island,100022300,Woonsocket,3/9/2011,2011,PHIPrivacy.net,INSD,"According to a complaint filed against CVS, CVS used the confidential information of customers to push certain drugs. CVS is accused of receiving payment for promoting certain pharmaceutical drugs to targeted groups of people. CVS may have violated consumer privacy by sending promotions for specific medications to the physicians of customers. The complaint was filed on March 7.","'<b>CVS Caremark Corp.</b> had a data breach in 2011, in Rhode Island. According to a complaint filed against CVS, CVS used the confidential information of customers to push certain drugs. CVS is accused of receiving payment for promoting certain pharmaceutical drugs to targeted groups of people. CVS may have violated consumer privacy by sending promotions for specific medications to the physicians of customers. The complaint was filed on March 7. [<a class=""BodyText"" href=""http://foreverdata.org/2000/"" >source</a>]',",
